UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Sep12 ?        00:01:37 /sbin/init
root         2     0  0 Sep12 ?        00:00:00 [kthreadd]
root         3     2  0 Sep12 ?        00:00:02 [ksoftirqd/0]
root         5     2  0 Sep12 ?        00:00:00 [kworker/0:0H]
root         7     2  0 Sep12 ?        00:00:20 [rcu_sched]
root         8     2  0 Sep12 ?        00:01:06 [rcuos/0]
root         9     2  0 Sep12 ?        00:00:00 [rcu_bh]
root        10     2  0 Sep12 ?        00:00:00 [rcuob/0]
root        11     2  0 Sep12 ?        00:00:00 [migration/0]
root        12     2  0 Sep12 ?        00:00:02 [watchdog/0]
root        13     2  0 Sep12 ?        00:00:00 [khelper]
root        14     2  0 Sep12 ?        00:00:00 [kdevtmpfs]
root        15     2  0 Sep12 ?        00:00:00 [netns]
root        16     2  0 Sep12 ?        00:00:00 [writeback]
root        17     2  0 Sep12 ?        00:00:00 [kintegrityd]
root        18     2  0 Sep12 ?        00:00:00 [bioset]
root        19     2  0 Sep12 ?        00:00:00 [kworker/u3:0]
root        20     2  0 Sep12 ?        00:00:00 [kblockd]
root        21     2  0 Sep12 ?        00:00:00 [ata_sff]
root        22     2  0 Sep12 ?        00:00:00 [khubd]
root        23     2  0 Sep12 ?        00:00:00 [md]
root        24     2  0 Sep12 ?        00:00:00 [devfreq_wq]
root        27     2  0 Sep12 ?        00:00:00 [khungtaskd]
root        28     2  0 Sep12 ?        00:00:00 [kswapd0]
root        29     2  0 Sep12 ?        00:00:00 [ksmd]
root        30     2  0 Sep12 ?        00:00:02 [khugepaged]
root        31     2  0 Sep12 ?        00:00:00 [fsnotify_mark]
root        32     2  0 Sep12 ?        00:00:00 [ecryptfs-kthrea]
root        33     2  0 Sep12 ?        00:00:00 [crypto]
root        45     2  0 Sep12 ?        00:00:00 [kthrotld]
root        47     2  0 Sep12 ?        00:00:00 [scsi_eh_0]
root        48     2  0 Sep12 ?        00:00:00 [scsi_eh_1]
root        69     2  0 Sep12 ?        00:00:00 [deferwq]
root        70     2  0 Sep12 ?        00:00:00 [charger_manager]
root       113     2  0 Sep12 ?        00:00:00 [mpt_poll_0]
root       114     2  0 Sep12 ?        00:00:00 [mpt/0]
root       115     2  0 Sep12 ?        00:00:00 [kpsmoused]
root       117     2  0 Sep12 ?        00:00:00 [scsi_eh_2]
root       119     2  0 Sep12 ?        00:00:00 [ttm_swap]
root       164     2  0 Sep12 ?        00:00:06 [jbd2/sda6-8]
root       165     2  0 Sep12 ?        00:00:00 [ext4-rsv-conver]
root       292     1  0 Sep12 ?        00:00:00 upstart-udev-bridge --daemon
root       316     1  0 Sep12 ?        00:00:00 /lib/systemd/systemd-udevd --daemon
root       330     2  0 Sep12 ?        00:00:00 [jbd2/sda1-8]
root       331     2  0 Sep12 ?        00:00:00 [ext4-rsv-conver]
root       400     1  0 Sep12 ?        00:00:00 upstart-file-bridge --daemon
syslog     414     1  0 Sep12 ?        00:00:04 rsyslogd
message+   436     1  0 Sep12 ?        00:00:00 dbus-daemon --system --fork
root       554     1  0 Sep12 ?        00:01:18 /usr/sbin/bluetoothd
root       580     1  0 Sep12 ?        00:00:00 /lib/systemd/systemd-logind
avahi      592     1  0 Sep12 ?        00:00:01 avahi-daemon: running [rc09xcs213.local]
avahi      593   592  0 Sep12 ?        00:00:00 avahi-daemon: chroot helper
root       607     2  0 Sep12 ?        00:00:00 [krfcommd]
root       641     1  0 Sep12 ?        00:00:07 smbd -F
root       745     1  0 Sep12 ?        00:00:00 /usr/sbin/ModemManager
root       802     1  0 Sep12 ?        00:00:00 upstart-socket-bridge --daemon
root       959     1  0 Sep12 tty4     00:00:00 /sbin/getty -8 38400 tty4
root       963     1  0 Sep12 tty5     00:00:00 /sbin/getty -8 38400 tty5
root       965     1  0 Sep12 ?        00:00:06 NetworkManager
root       972     1  0 Sep12 tty2     00:00:00 /sbin/getty -8 38400 tty2
root       973     1  0 Sep12 tty3     00:00:00 /sbin/getty -8 38400 tty3
root       976     1  0 Sep12 tty6     00:00:00 /sbin/getty -8 38400 tty6
root      1019     1  0 Sep12 ?        00:00:00 /usr/sbin/sshd -D
root      1030     1  0 Sep12 ?        00:00:00 acpid -c /etc/acpi/events -s /var/run/acpid.socket
root      1034     1  0 Sep12 ?        00:00:02 cron
daemon    1035     1  0 Sep12 ?        00:00:00 atd
root      1037     1  0 Sep12 ?        00:00:25 /usr/sbin/and
root      1063     1  0 Sep12 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root      1065     2  0 Sep12 ?        00:00:00 [kworker/u3:1]
root      1070     1  0 Sep12 ?        00:00:25 /usr/bin/perl -wT /usr/sbin/munin-node
whoopsie  1102     1  0 Sep12 ?        00:00:01 whoopsie
root      1119     1  0 Sep12 ?        00:00:01 /sbin/cachefilesd
root      1127   641  0 Sep12 ?        00:00:01 smbd -F
root      1144     1  0 Sep12 ?        00:00:00 /usr/sbin/cups-browsed
root      1230   965  0 Sep12 ?        00:00:00 /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-b53f12e2-2b41-492e-a4b8-fcb560d1da3c-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
Debian-+  1435     1  0 Sep12 ?        00:00:00 /usr/sbin/exim4 -bd -q30m
kernoops  1446     1  0 Sep12 ?        00:00:05 /usr/sbin/kerneloops
root      1663     1  0 Sep12 ?        00:04:41 /usr/bin/vmtoolsd
